Model, M1T1, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
synapse3, 20.985223, 3.205038, 5.898763, 3.75028033333333, 3.058622, 2.64235766666667, 5.5856416, 0.774602, 0.4476034
synapse4, 76.5723853333333, 8.271161, 16.571803, 9.176302, 6.67726866666667, 5.162757, 21.39188, 3.0628334, 1.7291004
synapse5, 12.2252816666667, 2.47077766666667, 4.83107766666667, 4.174725, 3.92689166666667, 4.25005733333333, 2.817939, 0.4299918, 0.2830314
synapse6, 34.6930643333333, 4.94327433333333, 10.455283, 6.814226, 5.72158433333333, 5.434141, 8.5915454, 1.2748468, 0.7632806
synapse7, 166.854960666667, 17.0247143333333, 37.908278, 20.344299, 14.8369856666667, 11.8853383333333, 41.6883096, 6.0986376, 3.5355272
szymanski1, 0.0158406666666667, 0.002594, 0.00526266666666667, 0.00681066666666667, 0.00681133333333333, 0.0101863333333333, 0.4417802, 0.0850452, 0.0555998
szymanski2, 0.0162896666666667, 0.00272566666666667, 0.005297, 0.00635766666666667, 0.00703466666666667, 0.00937933333333334, 0.476232, 0.0905932, 0.0676424
szymanski3, 0.0296613333333333, 0.00410566666666667, 0.00920433333333333, 0.009883, 0.0101766666666667, 0.011285, 2.7309322, 0.410808, 0.2545322
szymanski4, 0.0336016666666667, 0.00441966666666667, 0.00847366666666667, 0.010628, 0.009283, 0.0129493333333333, 5.029539, 0.7613328, 0.4602494
szymanski5, 0.0584863333333333, 0.007414, 0.0156333333333333, 0.0154826666666667, 0.0146353333333333, 0.018253, 44.198144, 6.6077314, 3.8570492
telephony1, 0.439375, 0.098141, 0.186101666666667, 0.223397666666667, 0.243471666666667, 0.295879, 0.1560522, 0.0420472, 0.0364832
telephony2, 2.92001933333333, 0.590308, 0.913190666666667, 0.714988666666667, 0.667223333333333, 0.697575666666667, 0.5586296, 0.1049328, 0.0732804
telephony3, 12.9707823333333, 2.46059966666667, 4.434173, 2.767337, 2.32429933333333, 2.12175533333333, 3.090198, 0.4236418, 0.2668524
telephony4, 66.64117, 8.145988, 16.9673876666667, 8.804615, 6.354054, 4.99175833333333, 15.7089398, 2.353885, 1.3586968
telephony5, -, -, -, 155.923050666667, 94.221005, 63.5035613333333, 808.5991368, 122.3529974, 71.564548
telephony6, -, -, -, 221.591551333333, 135.522989, 91.2448576666667, 1222.5470028, 184.656264, 104.584199
