Model, M1T16, M2T16, M8T16, M16T16, M32T16, Sylvan1, Sylvan8, Sylvan16
railroad-010-pt, 7.42143733333333, 12.2011256666667, 6.81248, 5.21699633333333, 4.33088166666667, 10.339224, 1.5045408, 0.871622
RAS-C-100, -, 632.606715666667, 800.452717, 882.092918666667, 963.316324666667, -, -, -
RAS-C-10, 0.637984333333333, 1.070492, 1.122251, 1.12873866666667, 1.17922633333333, 0.2673112, 0.0578866, 0.0421262
RAS-C-15, 1.86421566666667, 3.35044466666667, 3.29537266666667, 3.315079, 3.36179666666667, 0.8871868, 0.174052, 0.1291014
RAS-C-20, 3.823299, 7.51876666666667, 7.303574, 7.45147166666667, 7.67778466666667, 2.4424554, 0.5093134, 0.3740584
RAS-C-3, 0.0213876666666667, 0.0384283333333333, 0.0562696666666667, 0.0594546666666667, 0.0666786666666667, 0.3694516, 0.1099426, 0.101949
RAS-C-50, 25.0742826666667, 88.245643, 85.7492693333333, 79.7884596666667, 92.125909, 66.5011064, 14.9335974, 12.1490402
RAS-C-5, 0.082924, 0.143831, 0.183470666666667, 0.200541333333333, 0.220300333333333, 0.2528722, 0.0628204, 0.0525164
RAS-R-100, -, 2437.119249, 2299.77374666667, 2206.758156, 2627.85567033333, -, -, -
RAS-R-10, 0.287314, 0.544976, 0.734742333333334, 0.804735333333333, 0.885579333333333, 0.2213036, 0.0716326, 0.068966
RAS-R-15, 1.08218366666667, 2.06542033333333, 2.609343, 2.88864833333333, 3.32106433333333, 0.3425974, 0.0992122, 0.079772
RAS-R-20, 2.848822, 5.85620233333333, 7.12478033333333, 7.79286133333333, 9.01024666666667, 1.0451852, 0.2673794, 0.2105518
RAS-R-2, 0.00267233333333333, 0.004385, 0.00619966666666667, 0.00678133333333333, 0.008518, 0.121848, 0.0601682, 0.0604142
RAS-R-3, 0.007025, 0.0118103333333333, 0.0168793333333333, 0.018539, 0.0209076666666667, 0.2652688, 0.1040698, 0.1048914
RAS-R-50, 39.2608206666667, 132.847364666667, 147.798580666667, 175.272685333333, 202.520670333333, 152.5803148, 40.0540354, 26.363565
RAS-R-5, 0.03049, 0.0572856666666667, 0.0804713333333333, 0.0887826666666667, 0.0962656666666667, 0.3705462, 0.1392216, 0.1319646
ring, 31.4684, 77.0392763333333, 48.6164336666667, 38.2750373333333, 34.1953196666667, 104.1534146, 19.4726206, 12.0545158
rwmutex-r10w1000, 14.353859, 27.1364433333333, 17.0573446666667, 16.2493173333333, 18.723033, 31.794753, 4.5704065, -
rwmutex-r10w100, 1.01073733333333, 1.45148766666667, 1.27356166666667, 1.31668733333333, 1.484914, 0.532325, 0.0783134, 0.0513366
rwmutex-r10w10, 0.134618, 0.205108666666667, 0.194327666666667, 0.206224, 0.220247666666667, 0.1912396, 0.0340926, 0.022998
rwmutex-r10w20, 0.410808666666667, 0.540666666666667, 0.402989, 0.371677, 0.389034333333333, 0.2492218, 0.041665, 0.0235702
rwmutex-r10w500, 21.0256623333333, 35.9508396666667, 19.0307913333333, 15.5451983333333, 18.1958133333333, 66.3658622, 8.5667594, 4.7206736
rwmutex-r10w50, 1.52633866666667, 1.97725, 1.305968, 1.117995, 1.08247066666667, 1.3495732, 0.1891498, 0.106773
rwmutex-r20w10, 69.4388496666667, 148.017056333333, 67.439914, 41.771778, 27.7025026666667, 221.0542182, 30.6594612, 17.3034612
SafeBus-03-unfolded, 0.936610333333333, 1.37376166666667, 1.16490766666667, 1.11992233333333, 1.17563933333333, 0.4866748, 0.0762572, 0.0521732
SafeBus-06-unfolded, 131.972629, 271.146275333333, 135.414521333333, 90.1732393333333, 65.487759, 413.5162598, 59.5768742, 33.5605346
sg-2-1-2, -, -, 719.039779, 429.860587666667, 276.956311333333, -, -, -
sharedmemory-pt-10, 7.771391, 13.272594, 7.24979333333333, 5.08060233333333, 3.76579366666667, 10.8263498, 1.5068838, 0.866309
sharedmemory-pt-5, 0.145835, 0.213723, 0.174840666666667, 0.172061, 0.184741333333333, 0.1650734, 0.0298556, 0.0236642
simplelbs-2, 0.173581, 0.283551333333333, 0.303105333333333, 0.320772333333333, 0.354018666666667, 0.1757488, 0.036675, 0.0262714
simplelbs-5, 4.05367366666667, 6.08593766666667, 3.61106133333333, 2.91146833333333, 2.58766466666667, 4.1212898, 0.5450162, 0.314614
SmallOperatingSystem-MT0016DC0008, 5.76666666666667E-05, 7.66666666666667E-06, 7E-06, 8.66666666666667E-06, 7.33333333333333E-06, 1.02E-05, 1.08E-05, 1.14E-05
SmallOperatingSystem-MT0032DC0008, 5.56666666666667E-05, 7.66666666666667E-06, 7E-06, 7.33333333333333E-06, 7.33333333333333E-06, 1.48E-05, 1.04E-05, 1.22E-05
SmallOperatingSystem-MT0032DC0016, 5.76666666666667E-05, 8E-06, 7.66666666666667E-06, 7.66666666666667E-06, 8E-06, 1.46E-05, 1.16E-05, 1.16E-05
